policy,period,num_rebalances,annualized_net_return,annualized_net_volatility,net_sharpe,net_sortino,max_drawdown,calmar,expected_shortfall_95_return,worst_rebalance_return,ending_value_100k,maximum_underwater_days,avg_exposure,min_exposure,max_exposure,avg_cash_weight,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_controller_transaction_cost,avg_financing_cost,leveraged_period_share,deleveraged_period_share,net_hit_rate,drawdown_budget_floor_ratio,drawdown_budget_cushion_multiplier,cash_turnover_bps,cash_proxy
drawdown_budget_77_m3,overall,139,0.35999803076639925,0.23441963964392465,1.432696602500341,2.944778585126508,-0.22545872484075336,1.596735859393661,-0.08027640061874915,-0.09304313424267037,545230.5634043281,1032,0.35340936097538955,0.017589540951111947,0.6900000000000002,0.6465906390246104,0.5193353244169014,13.087250175305916,0.027507537942972365,0.0005193353244168704,3.906795075281183e-05,0.0,0.0,1.0,0.5755395683453237,0.77,3.0,10.0,BIL
drawdown_budget_77_m3,development_2021_2023,77,0.0886646396720634,0.17493903983595926,0.5711836286285735,0.9834476235252054,-0.22545872484075336,0.3932632890330115,-0.07393683908751437,-0.09304313424267037,129637.91106534806,1032,0.23241596762247213,0.017589540951111947,0.6471631517182603,0.7675840323775277,0.3095465361543912,7.800572711090658,0.011366426922218446,0.00030954653615436733,4.539545793315828e-05,0.0,0.0,1.0,0.4805194805194805,0.77,3.0,10.0,BIL
drawdown_budget_77_m3,confirmation_2024_2026,62,0.7929331381086695,0.2827344409618024,2.2242141450883057,4.919472857695356,-0.12266362733949221,6.464289009765656,-0.0816198122443691,-0.08671267079984867,420579.5657487013,146,0.5036753494943352,0.36703039793624004,0.6900000000000002,0.4963246505056649,0.7798794646784061,19.652962509895833,0.04034674862425473,0.0007798794646783661,3.1209595061091235e-05,0.0,0.0,1.0,0.6935483870967742,0.77,3.0,10.0,BIL
drawdown_budget_77_m3,2021,26,-0.06135850186794789,0.207802112639902,-0.203181719011842,-0.2699647201801501,-0.19229023578449433,-0.31909317505187457,-0.08420541711943157,-0.09304313424267037,93675.65253836541,331,0.39115257129721387,0.17114998483266053,0.6452583897721744,0.6088474287027862,0.49084660875541825,12.36933454063654,-0.0049605337834763025,0.0004908466087553766,6.908927901379204e-05,0.0,0.0,1.0,0.5,0.77,3.0,10.0,BIL
drawdown_budget_77_m3,2022,26,-0.03507401726531012,0.03319044338003755,-1.0588225382833705,-1.1548832063617231,-0.04106486082717353,-0.8541126539530571,-0.017063145950501825,-0.027792504785928145,96383.29006235123,362,0.03786029695050217,0.017589540951111947,0.1400618113814615,0.9621397030494977,0.06589338681181457,1.6605133476577272,-0.021122394056503388,6.589338681181092e-05,1.879732919953687e-05,0.0,0.0,1.0,0.34615384615384615,0.77,3.0,10.0,BIL
drawdown_budget_77_m3,2023,25,0.4399929928510189,0.21376309876147698,1.8161211609802708,5.2855841797873016,-0.1443371183747274,3.048370355494496,-0.03856005431084053,-0.04119306300983791,143583.1743009966,157,0.2696677972995896,0.03274479760089223,0.6471631517182603,0.7303322027004103,0.374393735965603,9.434722146333195,0.04663550086867393,0.00037439373596557667,4.8415937892265414e-05,0.0,0.0,1.0,0.6,0.77,3.0,10.0,BIL
drawdown_budget_77_m3,2024,26,0.5175877928786909,0.3011869453752782,1.5374491477508532,3.1422757968018726,-0.11233094164855428,4.607704567260274,-0.08216652074730973,-0.08671267079984867,153781.72904860583,146,0.5231191494742707,0.3976788102876224,0.6900000000000002,0.4768808505257293,0.7366693321750238,18.5640671708106,0.027881163546559742,0.0007366693321749875,3.639903462035035e-05,0.0,0.0,1.0,0.6153846153846154,0.77,3.0,10.0,BIL
drawdown_budget_77_m3,2025,25,1.2546007154302177,0.25345138475150886,3.3772064082525737,8.857970163253812,-0.0810442703821691,15.480436920636992,-0.06128068048512048,-0.0810442703821692,224010.04870418747,43,0.5103897353752601,0.45,0.6900000000000002,0.48961026462473994,0.8429550858117574,21.242468162456284,0.059060967201899156,0.0008429550858117087,3.29072315812411e-05,0.0,0.0,1.0,0.8,0.77,3.0,10.0,BIL
drawdown_budget_77_m3,2026,11,0.579671096478745,0.31312293776813677,1.6116090943281507,3.6089801268697492,-0.1226636273394921,4.7256966800305715,-0.08110193710068768,-0.08110193710068768,122088.82897726758,88,0.44245730890329465,0.36703039793624004,0.45,0.5575426910967054,0.7386588207469648,18.614202282823513,0.031141334324793695,0.0007386588207469378,1.5085382193410894e-05,0.0,0.0,1.0,0.6363636363636364,0.77,3.0,10.0,BIL
drawdown_budget_77_m3.25,overall,139,0.3834367633422684,0.24427028905993714,1.4545073266447177,3.0666701930210944,-0.22748050067917447,1.6855807957054119,-0.08153152146328323,-0.09684685270184372,599119.7931374416,1032,0.36021329415644066,0.01059956777774801,0.7475000000000002,0.6397867058435593,0.5312817093557279,13.388299075764344,0.028639692105203274,0.0005312817093556969,4.163481664326858e-05,0.0,0.0,1.0,0.5899280575539568,0.77,3.25,10.0,BIL
