test_year,rebalance_date,gross_top10_5d_return,net_top10_5d_return,universe_5d_return,net_excess_vs_universe,bottom10_5d_return,long_short_5d_return,spearman_ic,turnover,transaction_cost,top10_holdings
2023,2023-11-24 05:00:00,0.025422438515338507,0.025222438515338508,0.019096372229137626,0.006126066286200882,0.04019536933996769,-0.014772930824629181,0.05717719127745952,0.2,0.0002,"WBD,SHOP,ROKU,TGT,FTNT,ANET,MDB,BMY,SLB,CVX"
2023,2023-12-01 05:00:00,-0.0035261660770871594,-0.0045261660770871594,-8.119145549743222e-06,-0.004518046931537416,-0.0038074876756909,0.00028132159860374054,-0.1243587970090649,1.0,0.001,"WBD,ABNB,FTNT,TGT,NET,ROKU,ALB,BMY,CSCO,CHTR"
2023,2023-12-08 05:00:00,0.028615439089091848,0.027215439089091846,0.03494267184167479,-0.007727232752582941,0.054745635523529367,-0.02613019643443752,0.08979801070540087,1.4000000000000001,0.0014000000000000002,"SLB,OXY,FCX,SBUX,HAL,TGT,WBD,PFE,CHTR,XOM"
2023,2023-12-15 05:00:00,0.02376166403232256,0.02316166403232256,0.005900458266874082,0.017261205765448477,0.00271430378210174,0.02104736025022082,0.20202299671340976,0.6000000000000001,0.0006000000000000001,"COIN,PFE,WBD,HAL,ALB,CHTR,ROKU,SLB,OXY,XOM"
2023,2023-12-22 05:00:00,-0.005374320608057499,-0.006174320608057499,-0.000653693485464358,-0.005520627122593141,-0.01032183311454661,0.004947512506489112,-0.18838769585673518,0.8,0.0008,"WBD,VRTX,ORCL,ALB,MDB,HAL,CHTR,PFE,SNPS,OXY"
2024,2024-01-02 05:00:00,0.01628680224378179,0.015286802243781789,0.0009434163601322168,0.014343385883649572,-0.006231432193434959,0.022518234437216747,0.11315430173832629,1.0,0.001,"WBD,ORCL,ALB,AMD,MDB,EXC,NFLX,DAL,UAL,NVDA"
2024,2024-01-09 05:00:00,-0.04872305929816536,-0.04952305929816536,-0.013137068093294747,-0.03638599120487061,-0.00865344288657779,-0.04006961641158757,-0.1065122937449887,0.8,0.0008,"ORCL,SLB,WBD,NKE,ROKU,CHTR,ALB,NVDA,DAL,UAL"
2024,2024-01-17 05:00:00,0.03701459119784142,0.03601459119784142,0.020825155062357895,0.015189436135483528,-0.00992193294852784,0.046936524146369264,0.36312804519717723,1.0,0.001,"HAL,ROKU,NKE,SLB,MS,APD,WBD,NEM,EOG,UAL"
2024,2024-01-24 05:00:00,-0.0012514397277384299,-0.00205143972773843,0.003329186188634628,-0.005380625916373057,0.00435691143409819,-0.00560835116183662,-0.09741852774159723,0.8,0.0008,"PEG,NEM,EXC,APD,UAL,COP,ROKU,ALB,WBD,EOG"
2024,2024-01-31 05:00:00,0.007702188318729113,0.006902188318729113,0.016567716588415198,-0.009665528269686086,0.021921253152883863,-0.01421906483415475,-0.05909522635338743,0.8,0.0008,"UAL,NEM,WBD,DAL,AMD,PYPL,PEG,ROKU,SLB,EOG"
2024,2024-02-07 05:00:00,-0.0010692186516443407,-0.002269218651644341,0.003945093052975181,-0.006214311704619522,-0.00489406143086694,0.0038248427792225994,0.07461873824999721,1.2000000000000002,0.0012000000000000001,"META,LMT,WBD,DD,NEM,ALB,UAL,AMD,GILD,AMGN"
2024,2024-02-14 05:00:00,-0.04210899934790292,-0.042908999347902925,0.012156021294710356,-0.05506502064261328,0.025885860958131363,-0.06799486030603429,-0.11648075911205273,0.8,0.0008,"META,ALB,DD,ROKU,WBD,NEM,INTC,MDB,GILD,NET"
2024,2024-02-22 05:00:00,0.03208120607785925,0.030881206077859248,0.0057797192231713885,0.02510148685468786,0.001099548489306789,0.03098165758855246,0.12360840936313575,1.2000000000000002,0.0012000000000000001,"ROKU,PANW,COIN,META,CHTR,UBER,DE,APD,WBD,INTC"
2024,2024-02-29 05:00:00,0.014276688293615888,0.013076688293615888,0.01472913709944957,-0.0016524488058336818,0.03804421420822646,-0.02376752591461057,-0.011648720969554641,1.2000000000000002,0.0012000000000000001,"ROKU,NET,PANW,NVDA,META,SHOP,CHTR,UNH,PYPL,AMD"
2024,2024-03-07 05:00:00,0.014911638702059627,0.014311638702059627,-0.0007134751761583846,0.015025113878218012,-0.00559440071733216,0.02050603941939179,-0.03809486843864177,0.6000000000000001,0.0006000000000000001,"ALB,PANW,NET,ROKU,UNH,PYPL,SHOP,AAPL,CHTR,TTWO"
2024,2024-03-14 04:00:00,0.018272162399673466,0.017072162399673466,0.021021260481455535,-0.003949098081782069,0.01687893998923252,0.0013932224104409446,0.0018630881372882736,1.2000000000000002,0.0012000000000000001,"ALB,ROKU,PANW,NVDA,COIN,WBD,XEL,CRWD,CHTR,ZTS"
2024,2024-03-21 04:00:00,0.0003495872077190494,-0.00025041279228095063,0.006706838457652768,-0.006957251249933718,0.01092549009899298,-0.010575902891273931,-0.1940534832626466,0.6000000000000001,0.0006000000000000001,"ALB,ZTS,WBD,XEL,PANW,MDB,CHTR,CRWD,EA,SHOP"
2024,2024-03-28 04:00:00,-0.02495706663867853,-0.02575706663867853,-0.009674564725685035,-0.016082501912993492,-0.028617038130743223,0.0036599714920646925,-0.08392010740042147,0.8,0.0008,"ALB,MU,PANW,MDB,AVGO,WBD,CHTR,NKE,CRWD,MELI"
2024,2024-04-05 04:00:00,-0.018848581566333542,-0.019848581566333543,-0.023296896065592192,0.0034483144992586492,-0.025083265642215396,0.006234684075881854,0.08370301537253218,1.0,0.001,"ADBE,MU,ALB,WBD,INTC,GILD,CHTR,NKE,UNH,EQIX"
2024,2024-04-12 04:00:00,-0.017548525144178505,-0.018948525144178503,-0.017946758772623774,-0.0010017663715547291,0.00842531209610289,-0.025973837240281395,-0.28725804021806944,1.4000000000000001,0.0014000000000000002,"REGN,CHTR,MCD,ADBE,ALB,MDB,SHOP,ROKU,SBUX,PANW"
2024,2024-04-19 04:00:00,0.01789844298430511,0.01629844298430511,0.022879100485277727,-0.006580657500972618,0.03513533201773639,-0.017236889033431277,-0.0165278123423191,1.6,0.0016,"ADBE,SNPS,REGN,MELI,HD,VRTX,UAL,PLD,BLK,CDNS"
2024,2024-04-26 04:00:00,0.00492384934597383,0.0035238493459738302,0.0013226762814869957,0.0022011730644868346,-0.00418217340865918,0.00910602275463301,0.04294181575762126,1.4000000000000001,0.0014000000000000002,"REGN,UAL,HD,SHW,CHTR,NEM,AMD,EQIX,BMY,AMT"
2024,2024-05-03 04:00:00,0.0057668302988088,0.0045668302988088,0.01763428257993424,-0.013067452281125441,0.018229992897456367,-0.012463162598647565,-0.06470739999199857,1.2000000000000002,0.0012000000000000001,"COIN,LIN,UAL,AMD,INTC,EQIX,NEM,SLB,ROKU,NVDA"
2024,2024-05-10 04:00:00,0.03013297027001908,0.02933297027001908,0.01552843535595377,0.01380453491406531,0.018688959258566222,0.011444011011452856,0.23857519748629522,0.8,0.0008,"SHOP,UAL,INTC,AMD,NVDA,UBER,ROKU,PLD,NEM,BMY"
2024,2024-05-17 04:00:00,-0.011420923419033408,-0.012420923419033409,-0.011129895112336178,-0.0012910283066972315,-0.019453096755364812,0.008032173336331404,0.08184736498618889,1.0,0.001,"COIN,NET,SBUX,UBER,INTC,ROKU,BMY,WBD,NEM,SPOT"
2024,2024-05-24 04:00:00,0.0042432595180231306,0.0032432595180231305,-0.009419804170639937,0.012663063688663066,0.0076219113923251414,-0.003378651874302011,-0.1223337945551259,1.0,0.001,"SHOP,NET,SBUX,WBD,UBER,EOG,INTC,MPC,PLD,DIS"
2024,2024-06-03 04:00:00,0.03549240835445217,0.03449240835445217,0.00875283560923358,0.02573957274521859,0.011431264073639359,0.024061144280812814,0.08956617631949661,1.0,0.001,"COIN,DE,SHOP,NET,INTC,UBER,BMY,DIS,ADBE,HAL"
