ticker,security_type,exchange,is_active,yahoo_symbol,company_name,long_name,sector,industry,market_cap,currency,fetch_error,snapshot_date
NEM,COMMON_STOCK,NYSE,True,NEM,Newmont Corporation,Newmont Corporation,Basic Materials,Gold,99495914346.88753,USD,,2026-07-08
DUK,COMMON_STOCK,NYSE,True,DUK,Duke Energy Corporation (Holdin,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,98845005067.17166,USD,,2026-07-08
MAR,COMMON_STOCK,NASDAQ,True,MAR,Marriott International,"Marriott International, Inc.",Consumer Cyclical,Lodging,97870670278.33658,USD,,2026-07-08
NET,COMMON_STOCK,NYSE,True,NET,"Cloudflare, Inc.","Cloudflare, Inc.",Technology,Software - Infrastructure,97040474631.22084,USD,,2026-07-08
USB,COMMON_STOCK,NYSE,True,USB,U.S. Bancorp,U.S. Bancorp,Financial Services,Banks - Regional,95021635408.0,USD,,2026-07-08
MELI,COMMON_STOCK,NASDAQ,True,MELI,"MercadoLibre, Inc.","MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,91730467414.70483,USD,,2026-07-08
ADBE,COMMON_STOCK,NASDAQ,True,ADBE,Adobe Inc.,Adobe Inc.,Technology,Software - Application,87823650970.45898,USD,,2026-07-08
ABNB,COMMON_STOCK,NASDAQ,True,ABNB,"Airbnb, Inc.","Airbnb, Inc.",Consumer Cyclical,Travel Services,84841526931.61671,USD,,2026-07-08
VLO,COMMON_STOCK,NYSE,True,VLO,Valero Energy Corporation,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,83996346822.0271,USD,,2026-07-08
SNPS,COMMON_STOCK,NASDAQ,True,SNPS,"Synopsys, Inc.","Synopsys, Inc.",Technology,Software - Infrastructure,83197766712.5,USD,,2026-07-08
CMCSA,COMMON_STOCK,NASDAQ,True,CMCSA,Comcast Corporation,Comcast Corporation,Communication Services,Telecom Services,82839982144.60587,USD,,2026-07-08
FCX,COMMON_STOCK,NYSE,True,FCX,"Freeport-McMoRan, Inc.",Freeport-McMoRan Inc.,Basic Materials,Copper,82659692237.5,USD,,2026-07-08
MPC,COMMON_STOCK,NYSE,True,MPC,Marathon Petroleum Corporation,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,81940772573.59222,USD,,2026-07-08
SHW,COMMON_STOCK,NYSE,True,SHW,Sherwin-Williams Company (The),The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,81530339040.38324,USD,,2026-07-08
ECL,COMMON_STOCK,NYSE,True,ECL,Ecolab Inc.,Ecolab Inc.,Basic Materials,Specialty Chemicals,77147646674.03345,USD,,2026-07-08
AMT,COMMON_STOCK,NYSE,True,AMT,American Tower Corporation (REI,American Tower Corporation,Real Estate,REIT - Specialty,76890988979.81581,USD,,2026-07-08
EMR,COMMON_STOCK,NYSE,True,EMR,Emerson Electric Company,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,76442445606.99463,USD,,2026-07-08
MDLZ,COMMON_STOCK,NASDAQ,True,MDLZ,"Mondelez International, Inc.","Mondelez International, Inc.",Consumer Defensive,Confectioners,76351487494.07178,USD,,2026-07-08
RCL,COMMON_STOCK,NYSE,True,RCL,Royal Caribbean Cruises Ltd.,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,75349382342.96448,USD,,2026-07-08
PSX,COMMON_STOCK,NYSE,True,PSX,Phillips 66,Phillips 66,Energy,Oil & Gas Refining & Marketing,75299605127.35474,USD,,2026-07-08
INTU,COMMON_STOCK,NASDAQ,True,INTU,Intuit Inc.,Intuit Inc.,Technology,Software - Application,74429419369.53735,USD,,2026-07-08
AEP,COMMON_STOCK,NASDAQ,True,AEP,American Electric Power Company,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,73943870527.84644,USD,,2026-07-08
EOG,COMMON_STOCK,NYSE,True,EOG,"EOG Resources, Inc.","EOG Resources, Inc.",Energy,Oil & Gas E&P,73284357492.15607,USD,,2026-07-08
SLB,COMMON_STOCK,NYSE,True,SLB,SLB Limited,SLB N.V.,Energy,Oil & Gas Equipment & Services,70910585317.48538,USD,,2026-07-08
